iter	Passed	Remaining
354	588676	1069567
355	590261	1067776
356	591957	1066186
357	593354	1064060
358	595025	1062426
359	596544	1060523
360	598168	1058807
361	599595	1056745
362	601141	1054895
363	602759	1053174
364	604443	1051566
365	605892	1049551
366	607544	1047890
367	609096	1046056
368	610679	1044278
369	612251	1042482
370	613760	1040580
371	615385	1038876
372	617070	1037273
373	618691	1035564
374	620288	1033814
375	621714	1031781
376	623329	1030064
377	624963	1028379
378	626531	1026585
379	628151	1024879
380	629699	1023054
381	631137	1021055
382	632801	1019422
383	634418	1017712
384	635995	1015940
385	637498	1014051
386	638930	1012053
387	640222	1009835
388	641798	1008069
389	643494	1006491
390	645210	1004943
391	646822	1003234
392	648229	1001209
393	649868	999544
394	651465	997813
395	653033	996040
396	654667	994369
397	656211	992560
398	657688	990653
399	659227	988840
400	660990	987364
401	662633	985709
402	664197	983935
403	665648	981996
404	667327	980394
405	668768	978444
406	670292	976618
407	671905	974921
408	673174	972728
409	674378	970446
410	676022	968800
411	677707	967213
412	679326	965531
413	680980	963900
414	682384	961915
415	683964	960181
416	685470	958343
417	687174	956783
418	688754	955050
419	690285	953251
420	692497	952389
421	694737	951559
422	696621	950238
423	698241	948554
424	699919	946950
425	701625	945382
426	703176	943607
427	704951	942130
428	706484	940332
429	708171	938739
430	709854	937139
431	711491	935479
432	713085	933763
433	714583	931922
434	716115	930127
435	717740	928453
436	719395	926818
437	720993	925110
438	722376	923128
439	723832	921241
440	725468	919584
441	727226	918082
442	729061	916675
443	730696	915016
444	732175	913162
445	733740	911417
446	735526	909946
447	737251	908399
448	738829	906670
449	740443	904987
450	741990	903221
451	743610	901545
452	745299	899952
453	746819	898157
454	748386	896419
455	749784	894479
456	751178	892538
457	752730	890785
458	754243	888988
459	755787	887228
460	757474	885637
461	759150	884032
462	760832	882433
463	762091	880347
464	763711	878678
465	765162	876816
466	766856	875235
467	768286	873351
468	769803	871569
469	771323	869789
470	772733	867889
471	774331	866201
472	775875	864452
473	777489	862784
474	779175	861194
475	780712	859439
476	782315	857758
477	783673	855810
478	785022	853855
479	786462	852001
480	787731	849963
481	789402	848361
482	790930	846606
483	792601	845004
484	794040	843156
485	795446	841274
486	797256	839820
487	798740	838022
488	800245	836247
489	801713	834436
490	803352	832803
491	804953	831130
492	806396	829295
493	808084	827714
494	809487	825840
495	811000	824081
496	812604	822415
497	814180	820719
498	815863	819133
499	817420	817420
500	819085	815815
501	820645	814106
502	822204	812397
503	823705	810630
504	825625	809276
505	827402	807780
506	828747	805862
507	830516	804358
508	832122	802695
509	833635	800943
510	835078	799126
511	836301	797099
512	837728	795270
513	839303	793582
514	841082	792087
515	842697	790437
516	844084	788574
517	845582	786816
518	847032	785014
519	848540	783268
520	850196	781658
521	851804	780005
522	853383	778324
523	855005	776684
524	856453	774886
525	858323	773469
526	859956	771839
527	861473	770105
528	863076	768448
529	864574	766698
530	866015	764899
531	867690	763306
532	870004	762274
533	871775	760763
534	873584	759283
535	875536	757927
536	877469	756551
537	879711	755439
538	881546	753975
539	883178	752337
540	884710	750613
541	886225	748877
542	887630	747048
543	889406	745532
544	891090	743938
545	892501	742116
546	893996	740366
547	895512	738634
548	897068	736936
549	898714	735311
550	901773	734838
551	905857	735188
552	911185	736528
553	913246	735213
554	915094	733724
555	917426	732621
556	919364	731200
557	921091	729610
558	922394	727685
559	923701	725765
560	925354	724118
561	926777	722293
562	928393	720618
563	930539	719352
564	932224	717730
565	933958	716144
566	935890	714709
567	937308	712882
568	938780	711097
569	940205	709277
570	942025	707756
571	943665	706099
572	945298	704436
573	946917	702764
574	948512	701074
575	950112	699388
576	951727	697713
577	953435	696106
578	955074	694449
579	956869	692905
580	958770	691437
581	961310	690425
582	962780	688643
583	964600	687112
584	966564	685682
585	968296	684086
586	970209	682617
587	971521	680725
588	973035	678977
589	974664	677309
590	977586	676535
591	978859	674619
592	980321	672834
593	981764	671037
594	982895	669029
595	984599	667413
596	986333	665816
597	988684	664633
598	990078	662807
599	991618	661079
600	992863	659155
601	994734	657648
602	996441	656032
603	998110	654390
604	999809	652768
605	1001889	651393
606	1003974	650019
607	1005760	648450
608	1008101	647237
609	1010309	645935
610	1011936	644260
611	1013239	642380
612	1015075	640838
613	1017348	639570
614	1019671	638330
615	1021239	636616
616	1022859	634935
617	1024211	633088
618	1025890	631444
619	1027424	629711
620	1028762	627859
621	1031272	626721
622	1032993	625101
623	1034500	623352
624	1036861	622116
625	1038986	620736
626	1040604	619051
627	1042265	617392
628	1043829	615676
629	1045499	614023
630	1046973	612255
631	1048882	610741
632	1050568	609097
633	1052300	607479
634	1053836	605748
635	1055652	604178
636	1057876	602839
637	1060025	601456
638	1062113	600035
639	1064441	598748
640	1066046	597052
641	1067689	595378
642	1069902	594020
643	1071926	592555
644	1073344	590755
645	1075054	589116
646	1076725	587456
647	1078324	585756
648	1079608	583886
649	1081308	582243
650	1083936	581096
651	1086467	579893
652	1088604	578477
653	1090094	576716
654	1091696	575015
655	1093437	573388
656	1095353	571850
657	1097227	570291
658	1099692	569036
659	1102633	568023
660	1106250	567351
661	1109597	566531
662	1112209	565331
663	1115231	564333
664	1117175	562787
665	1119254	561307
666	1121066	559693
667	1122655	557966
668	1124170	556203
669	1125819	554508
670	1127821	552985
671	1130302	551695
672	1132303	550168
673	1134142	548561
674	1137422	547647
675	1139636	546216
676	1142008	544857
677	1143708	543177
678	1145963	541758
679	1147953	540213
680	1149834	538615
681	1151278	536813
682	1153087	535181
683	1154773	533492
684	1156485	531814
685	1158701	530367
686	1160815	528872
687	1162427	527147
688	1164742	525740
689	1166837	524231
690	1168822	522671
691	1170742	521082
692	1172366	519360
693	1175237	518188
694	1177496	516742
695	1179501	515184
696	1181690	513704
697	1183758	512170
698	1186408	510885
699	1188216	509235
700	1190271	507690
701	1193015	506436
702	1195306	504987
703	1197949	503683
704	1200301	502253
705	1202859	500907
706	1205235	499482
707	1207802	498133
708	1210471	496822
709	1212684	495321
710	1215259	493966
711	1217191	492347
712	1219920	491047
713	1221837	489419
714	1224363	488033
715	1226211	486374
716	1228960	485070
717	1230898	483444
718	1232872	481831
719	1234775	480190
720	1237531	478878
721	1239353	477202
722	1240904	475422
723	1242557	473682
724	1244106	471902
725	1245517	470071
726	1247282	468374
727	1248752	466566
728	1250476	464854
729	1252252	463161
730	1253945	461438
731	1255785	459768
732	1257381	458009
733	1258773	456176
734	1260711	454542
735	1262703	452926
736	1264520	451246
737	1267675	450041
738	1269823	448476
739	1272078	446946
740	1273542	445138
741	1275549	443520
742	1277457	441866
743	1279066	440108
744	1280618	438332
745	1282307	436603
746	1284338	434990
747	1286037	433264
748	1287534	431470
749	1289182	429727
750	1290913	428012
751	1292674	426307
752	1294502	424624
753	1296822	423101
754	1298705	421434
755	1300410	419709
756	1301737	417862
757	1303455	416142
758	1306254	414765
759	1308050	413068
760	1309791	411353
761	1311625	409667
762	1314090	408177
763	1315815	406455
764	1317512	404726
765	1320080	403262
766	1322173	401651
767	1324126	399996
768	1326149	398362
769	1328399	396794
770	1330631	395220
771	1332976	393677
772	1335075	392059
773	1337271	390469
774	1339099	388770
775	1340812	387038
776	1342434	385280
777	1344049	383520
778	1345557	381730
779	1346913	379898
780	1348569	378152
781	1349988	376339
782	1351375	374519
783	1352861	372727
784	1354412	370953
785	1355978	369185
786	1357480	367399
787	1359148	365659
788	1361718	364160
789	1363654	362490
790	1365457	360784
791	1367455	359129
792	1369181	357402
793	1370743	355633
794	1372297	353862
795	1373881	352100
796	1375118	350249
797	1376684	348483
798	1378199	346705
799	1380911	345227
800	1383422	343696
801	1386009	342181
802	1388092	340540
803	1390037	338864
804	1391241	337008
805	1393183	335332
806	1394665	333544
807	1396031	331730
808	1397430	329924
809	1399038	328169
810	1400541	326389
811	1402122	324629
812	1403556	322835
813	1405155	321079
814	1406473	319260
815	1408119	317517
816	1409589	315734
817	1411131	313968
818	1412667	312201
819	1414484	310496
820	1416066	308740
821	1417857	307029
822	1419329	305250
823	1421024	303519
824	1422613	301766
825	1424116	299995
826	1425599	298220
827	1427200	296471
828	1428690	294699
829	1430059	292903
830	1431649	291153
831	1433113	289378
832	1434541	287597
833	1436042	285830
834	1437489	284054
835	1439265	282343
836	1441051	280634
837	1442420	278845
838	1443885	277074
839	1445454	275324
840	1446982	273567
841	1448939	271891
842	1450286	270100
843	1451720	268327
844	1453229	266568
845	1454696	264802
846	1456632	263122
847	1459000	261519
848	1460710	259796
849	1462170	258030
850	1463764	256287
851	1465520	254574
852	1467283	252861
853	1468857	251116
854	1470445	249373
855	1471932	247614
856	1473920	245939
857	1475644	244220
858	1477934	242594
859	1479737	240887
860	1480842	239067
861	1482452	237329
862	1484103	235599
863	1485554	233837
864	1486943	232066
865	1488531	230327
866	1490006	228570
867	1491597	226832
868	1493290	225110
869	1494952	223383
870	1496605	221655
871	1498470	219958
872	1499773	218180
873	1502170	216559
874	1504235	214890
875	1505904	213164
876	1507677	211453
877	1509319	209723
878	1510833	207975
879	1512494	206249
880	1514068	204510
881	1515660	202775
882	1517241	201038
883	1518855	199306
884	1520523	197582
885	1522222	195861
886	1523789	194124
887	1525010	192343
888	1526711	190624
889	1528309	188892
890	1529942	187164
891	1531682	185450
892	1533723	183771
893	1536784	182213
894	1538702	180518
895	1540019	178752
896	1541526	177009
897	1543131	175277
898	1544411	173510
899	1545981	171775
900	1547625	170049
901	1549139	168310
902	1550682	166573
903	1552205	164835
904	1554243	163152
905	1555965	161435
906	1557701	159720
907	1559330	157993
908	1561010	156272
909	1562527	154535
910	1564080	152802
911	1565682	151074
912	1567092	149328
913	1568290	147563
914	1569863	145834
915	1571565	144117
916	1573393	142411
917	1574817	140669
918	1576274	138931
919	1577933	137211
920	1579498	135483
921	1580970	133748
922	1582439	132012
923	1583999	130285
924	1585683	128568
925	1587032	126825
926	1588601	125100
927	1589962	123359
928	1591665	121645
929	1593092	119910
930	1594703	118189
931	1596294	116467
932	1597822	114741
933	1599397	113019
934	1600942	111295
935	1602477	109571
936	1603885	107838
937	1605436	106116
938	1607015	104396
939	1608602	102676
940	1610262	100962
941	1611848	99243
942	1613472	97526
943	1614967	95803
944	1616555	94085
945	1618150	92367
946	1619555	90640
947	1620819	88905
948	1622225	87179
949	1623615	85453
950	1625255	83740
951	1626929	82030
952	1628490	80313
953	1630040	78597
954	1631672	76885
955	1632988	75158
956	1634576	73444
957	1636163	71731
958	1637760	70018
959	1639399	68308
960	1640933	66593
961	1642489	64880
962	1644157	63171
963	1645735	61458
964	1647026	59736
965	1648565	58024
966	1650158	56313
967	1651717	54602
968	1653386	52894
969	1654652	51174
970	1656065	49460
971	1657502	47746
972	1659101	46038
973	1660611	44328
974	1662000	42615
975	1663663	40909
976	1665179	39200
977	1666799	37494
978	1668469	35789
979	1670036	34082
980	1671563	32374
981	1673104	30667
982	1674267	28954
983	1675947	27251
984	1677755	25549
985	1679327	23844
986	1680753	22137
987	1682444	20434
988	1683961	18729
989	1685328	17023
990	1686956	15320
991	1688273	13615
992	1689786	11911
993	1691259	10208
994	1692944	8507
995	1694502	6805
996	1696102	5103
997	1697645	3402
998	1699254	1700
999	1700918	0
